,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Trade Month,Cumulative ROI%,Running Max ROI%,Drawdown,Max High,Strat Entry,High Entry Ratio
10,320,2017-02-03,8821.2,8707.75,113.45000000000071,8812.35,40%,8857.730000000001,8766.97,low,8850,2017-02-16,3,NIFTY172168850CE,CE,2017-02-13 12:00:00,,2017-02-16 15:30:00,,Expiry Closing,,,,1694.915254237288,,,,,2017,9050,NIFTY172169050CE,0.0,0.0,0.0,0.0,,,NIFTY,2,,,,0.0,,
11,322,2017-02-10,8826.45,8713.05,113.40000000000146,8883.7,40%,8929.060000000001,8838.34,low,8950,2017-02-23,6,NIFTY17FEB8950CE,CE,2017-02-17 09:33:00,12.1,2017-02-17 09:34:00,11.55,SL Hit,0.5499999999999989,0.2365,0.3134999999999989,1675.977653631285,921.7877094972048,525.4189944134059,0.0921787709497204,0.0525418994413405,2017,9150,NIFTY17FEB9150CE,1.2,1.2,0.0,0.0,525.4189944134059,0.0525418994413405,NIFTY,2,-2.792963099266773,0.7165520833333335,-3.5095151826001065,12.45,12.1,1.0289256198347108
12,5,2017-02-10,20366.7,20088.4,278.2999999999993,20918.45,50%,21057.6,20779.300000000003,low,21100,2017-02-23,6,BANKNIFTY17FEB21100CE,CE,2017-02-17 09:40:00,17.95,2017-02-17 09:41:00,15.6,SL Hit,2.35,0.3354999999999999,2.0144999999999995,414.6919431279621,974.5260663507112,835.3969194312796,0.0974526066350711,0.0835396919431279,2017,21700,BANKNIFTY17FEB21700CE,0.0,0.0,0.0,0.0,835.3969194312796,0.0835396919431279,BANKNIFTY,2,-2.7094234073236447,0.7165520833333335,-3.4259754906569784,19.0,17.95,1.0584958217270195
13,321,2017-02-10,8826.45,8713.05,113.40000000000146,8883.7,40%,8929.060000000001,8838.34,high,8850,2017-02-23,1,NIFTY17FEB8850PE,PE,2017-02-22 09:15:00,12.1,2017-02-23 15:30:00,0.05,Friday Closing,12.05,0.1215,11.9285,1694.915254237288,20423.728813559323,20217.79661016949,2.042372881355932,2.021779661016949,2017,8650,NIFTY17FEB8650PE,1.2,0.05,-1.15,-1949.152542372881,18268.64406779661,1.8268644067796609,NIFTY,2,-0.8825590005439838,0.7165520833333335,-1.5991110838773173,12.7,12.1,1.0495867768595042
14,6,2017-02-17,21031.65,20452.6,579.0500000000029,20853.45,50%,21142.975,20563.925,low,21100,2017-03-02,2,BANKNIFTY1730221100CE,CE,2017-02-28 11:42:00,6.8,2017-03-02 15:30:00,0.05,Expiry Closing,6.75,0.0684999999999999,6.6815,414.6919431279621,2799.1706161137445,2770.764218009479,0.2799170616113744,0.2770764218009479,2017,21700,BANKNIFTY1730221700CE,0.5,0.05,-0.45,-186.61137440758296,2584.152843601896,0.2584152843601896,BANKNIFTY,2,-0.6241437161837942,0.7165520833333335,-1.3406957995171278,19.6,6.8,2.882352941176471
15,323,2017-02-17,8981.9,8804.75,177.14999999999964,8943.7,40%,9014.56,8872.84,low,9000,2017-03-02,2,NIFTY173029000CE,CE,2017-02-28 13:20:00,,2017-03-02 09:15:00,,SL Hit,,,,1666.6666666666663,,,,,2017,9200,NIFTY173029200CE,0.0,0.0,0.0,0.0,,,NIFTY,2,,,,0.0,,
16,324,2017-02-24,8992.35,8868.1,124.25,8885.55,40%,8935.25,8835.849999999999,high,8850,2017-03-09,3,NIFTY173098850PE,PE,2017-03-06 09:31:00,,2017-03-09 15:30:00,,Friday Closing,,,,1694.915254237288,,,,,2017,8650,NIFTY173098650PE,0.0,0.0,0.0,0.0,,,NIFTY,3,,,,0.0,,
17,7,2017-02-24,20901.0,20518.5,382.5,20572.85,50%,20764.1,20381.6,high,20400,2017-03-09,0,BANKNIFTY1730920400PE,PE,2017-03-09 14:26:00,0.2,2017-03-09 15:30:00,0.05,Friday Closing,0.15,0.0025,0.1475,428.9215686274511,64.33823529411765,63.26593137254903,0.0064338235294117,0.0063265931372549,2017,19800,BANKNIFTY1730919800PE,0.05,0.05,0.0,0.0,63.26593137254903,0.0063265931372549,BANKNIFTY,3,-0.6178171230465392,0.7165520833333335,-1.3343692063798729,0.3,0.2,1.4999999999999998
18,326,2017-03-03,8977.75,8860.3,117.45000000000071,8953.7,40%,9000.68,8906.720000000001,low,9000,2017-03-16,6,NIFTY173169000CE,CE,2017-03-10 14:06:00,,2017-03-14 09:15:00,,SL Hit,,,,1666.6666666666663,,,,,2017,9200,NIFTY173169200CE,0.0,0.0,0.0,0.0,,,NIFTY,3,,,,0.0,,
19,325,2017-03-03,8977.75,8860.3,117.45000000000071,8953.7,40%,9000.68,8906.720000000001,high,8900,2017-03-16,2,NIFTY173168900PE,PE,2017-03-14 09:15:00,,2017-03-16 15:30:00,,Friday Closing,,,,1685.3932584269664,,,,,2017,8700,NIFTY173168700PE,0.0,0.0,0.0,0.0,,,NIFTY,3,,,,0.0,,
20,8,2017-03-03,20777.15,20423.7,353.4500000000007,20825.9,50%,21002.625,20649.175000000003,high,20600,2017-03-16,2,BANKNIFTY1731620600PE,PE,2017-03-14 09:15:00,12.0,2017-03-16 15:30:00,0.05,Friday Closing,11.95,0.1205,11.8295,424.7572815533981,5075.849514563107,5024.666262135923,0.5075849514563107,0.5024666262135923,2017,20000,BANKNIFTY1731620000PE,16.35,0.05,-16.3,-6923.54368932039,-1898.8774271844668,-0.1898877427184467,BANKNIFTY,3,-0.8077048657649859,0.7165520833333335,-1.524256949098319,28.75,12.0,2.3958333333333335
21,327,2017-03-10,9158.1,8904.1,254.0,9207.8,40%,9309.4,9106.2,low,9300,2017-03-23,2,NIFTY173239300CE,CE,2017-03-21 11:21:00,,2017-03-23 15:30:00,,Expiry Closing,,,,1612.9032258064517,,,,,2017,9500,NIFTY173239500CE,0.0,0.0,0.0,0.0,,,NIFTY,3,,,,0.0,,
22,9,2017-03-10,21289.3,20653.5,635.7999999999993,21308.45,50%,21626.35,20990.550000000003,low,21600,2017-03-23,2,BANKNIFTY1732321600CE,CE,2017-03-21 12:32:00,1.5,2017-03-23 15:30:00,0.05,Expiry Closing,1.45,0.0155,1.4345,405.0925925925926,587.3842592592592,581.1053240740741,0.0587384259259259,0.0581105324074074,2017,22200,BANKNIFTY1732322200CE,0.45,0.05,-0.4,-162.03703703703707,419.06828703703707,0.0419068287037037,BANKNIFTY,3,-0.7657980370612822,0.7165520833333335,-1.482350120394616,2.05,1.5,1.3666666666666665
23,328,2017-03-17,9214.1,9019.4,194.7000000000008,9104.0,40%,9181.88,9026.12,low,9200,2017-03-30,3,NIFTY17MAR9200CE,CE,2017-03-27 12:39:00,4.1,2017-03-30 15:30:00,0.05,Expiry Closing,4.05,0.0414999999999999,4.0085,1630.4347826086955,6603.260869565217,6535.597826086956,0.6603260869565217,0.6535597826086955,2017,9400,NIFTY17MAR9400CE,0.6,0.05,-0.5499999999999999,-896.7391304347825,5638.858695652174,0.5638858695652174,NIFTY,3,-0.2019121674960649,0.7165520833333335,-0.9184642508293984,11.2,4.1,2.731707317073171
24,10,2017-03-17,21316.85,20755.15,561.6999999999971,20987.6,50%,21268.45,20706.75,high,20700,2017-03-30,1,BANKNIFTY17MAR20700PE,PE,2017-03-29 09:15:00,2.95,2017-03-30 15:30:00,0.05,Friday Closing,2.9000000000000004,0.03,2.870000000000001,422.7053140096618,1225.8454106280194,1213.16425120773,0.1225845410628019,0.1213164251207729,2017,20100,BANKNIFTY17MAR20100PE,1.55,0.05,-1.5,-634.0579710144928,579.1062801932371,0.0579106280193237,BANKNIFTY,3,-0.1440015394767411,0.7165520833333335,-0.8605536228100747,3.95,2.95,1.3389830508474576
25,329,2017-03-24,9181.1,9024.65,156.45000000000073,9158.9,40%,9221.48,9096.32,high,9100,2017-04-06,3,NIFTY174069100PE,PE,2017-04-03 13:10:00,,2017-04-06 15:30:00,,Friday Closing,,,,1648.3516483516485,,,,,2017,8900,NIFTY174068900PE,0.0,0.0,0.0,0.0,,,NIFTY,4,,,,0.0,,
26,330,2017-03-31,9273.8,9152.15,121.64999999999964,9223.7,40%,9272.36,9175.04,low,9250,2017-04-13,3,NIFTY174139250CE,CE,2017-04-10 13:06:00,,2017-04-13 15:30:00,,Expiry Closing,,,,1621.621621621622,,,,,2017,9450,NIFTY174139450CE,0.0,0.0,0.0,0.0,,,NIFTY,4,,,,0.0,,
27,11,2017-03-31,21699.0,21408.6,290.40000000000146,21536.5,50%,21681.7,21391.3,high,21400,2017-04-13,2,BANKNIFTY1741321400PE,PE,2017-04-11 13:41:00,14.8,2017-04-13 15:30:00,0.05,Friday Closing,14.75,0.1485,14.6015,408.8785046728972,6030.957943925234,5970.2394859813085,0.6030957943925234,0.5970239485981308,2017,20800,BANKNIFTY1741320800PE,1.4,0.05,-1.35,-551.9859813084113,5418.253504672897,0.5418253504672896,BANKNIFTY,4,0.3978238109905484,0.7165520833333335,-0.3187282723427851,40.0,14.8,2.7027027027027026
28,331,2017-04-07,9250.45,9145.0,105.45000000000071,9144.75,40%,9186.93,9102.57,high,9100,2017-04-20,2,NIFTY174209100PE,PE,2017-04-18 09:20:00,,2017-04-18 14:36:00,,SL Hit,,,,1648.3516483516485,,,,,2017,8900,NIFTY174208900PE,0.0,0.0,0.0,0.0,,,NIFTY,4,,,,0.0,,
29,12,2017-04-07,21786.95,21396.7,390.25,21700.5,50%,21895.625,21505.375,high,21500,2017-04-20,2,BANKNIFTY1742021500PE,PE,2017-04-18 10:08:00,14.85,2017-04-20 15:30:00,9.7,Friday Closing,5.15,0.2454999999999999,4.9045000000000005,406.9767441860465,2095.93023255814,1996.0174418604652,0.2095930232558139,0.1996017441860465,2017,20900,BANKNIFTY1742020900PE,1.4,0.05,-1.35,-549.4186046511628,1446.5988372093025,0.1446598837209302,BANKNIFTY,4,0.5424836947114786,0.7165520833333335,-0.1740683886218549,93.75,14.85,6.313131313131313
30,332,2017-04-07,9250.45,9145.0,105.45000000000071,9144.75,40%,9186.93,9102.57,low,9200,2017-04-20,2,NIFTY174209200CE,CE,2017-04-18 15:02:00,,2017-04-20 15:30:00,,Expiry Closing,,,,1630.4347826086955,,,,,2017,9400,NIFTY174209400CE,0.0,0.0,0.0,0.0,,,NIFTY,4,,,,0.0,,
31,13,2017-04-07,21786.95,21396.7,390.25,21700.5,50%,21895.625,21505.375,low,21900,2017-04-20,1,BANKNIFTY1742021900CE,CE,2017-04-19 09:52:00,9.6,2017-04-20 15:30:00,0.05,Expiry Closing,9.55,0.0965,9.453499999999998,399.5433789954337,3815.639269406393,3777.083333333332,0.3815639269406393,0.3777083333333332,2017,22600,BANKNIFTY1742022600CE,0.25,0.05,-0.2,-79.90867579908675,3697.174657534245,0.3697174657534245,BANKNIFTY,4,0.9122011604649032,0.9122011604649032,0.0,12.9,9.6,1.34375
32,334,2017-04-14,9217.8,9075.3,142.5,9179.1,40%,9236.1,9122.1,low,9250,2017-04-27,6,NIFTY17APR9250CE,CE,2017-04-21 12:55:00,8.15,2017-04-24 13:51:00,22.15,SL Hit,-13.999999999999998,0.303,-14.303,1621.621621621622,-22702.702702702703,-23194.05405405406,-2.27027027027027,-2.319405405405406,2017,9450,NIFTY17APR9450CE,0.6,0.8,0.2,324.3243243243244,-22869.729729729737,-2.2869729729729737,NIFTY,4,-1.3747718125080706,0.9122011604649032,-2.2869729729729737,23.05,8.15,2.8282208588957056
33,14,2017-04-14,21947.0,21417.2,529.7999999999993,21567.5,50%,21832.4,21302.6,high,21300,2017-04-27,3,BANKNIFTY17APR21300PE,PE,2017-04-24 12:45:00,17.75,2017-04-27 15:30:00,0.05,Friday Closing,17.7,0.178,17.522,410.7981220657277,7271.126760563379,7198.004694835679,0.7271126760563379,0.719800469483568,2017,20700,BANKNIFTY17APR20700PE,2.95,0.05,-2.9000000000000004,-1191.3145539906104,6006.6901408450685,0.6006690140845069,BANKNIFTY,4,-0.7741027984235637,0.9122011604649032,-1.686303958888467,20.0,17.75,1.1267605633802817
34,333,2017-04-14,9217.8,9075.3,142.5,9179.1,40%,9236.1,9122.1,high,9100,2017-04-27,2,NIFTY17APR9100PE,PE,2017-04-25 09:15:00,5.7,2017-04-27 15:30:00,0.05,Friday Closing,5.65,0.0575,5.5925,1648.3516483516485,9313.186813186814,9218.406593406597,0.9313186813186816,0.9218406593406596,2017,8900,NIFTY17APR8900PE,1.6,0.05,-1.55,-2554.9450549450557,6663.461538461539,0.6663461538461539,NIFTY,4,-0.1077566445774097,0.9122011604649032,-1.019957805042313,12.1,5.7,2.1228070175438596
35,336,2017-04-28,9365.5,9270.0,95.5,9374.55,40%,9412.75,9336.35,low,9400,2017-05-11,6,NIFTY175119400CE,CE,2017-05-05 09:15:00,,2017-05-10 09:39:00,,SL Hit,,,,1595.7446808510635,,,,,2017,9600,NIFTY175119600CE,0.0,0.0,0.0,0.0,,,NIFTY,5,,,,0.0,,
36,15,2017-04-28,22740.85,22185.25,555.5999999999985,22844.85,50%,23122.65,22567.05,low,23100,2017-05-11,6,BANKNIFTY1751123100CE,CE,2017-05-05 13:16:00,18.8,2017-05-08 09:49:00,18.55,SL Hit,0.25,0.3735,-0.1235,378.7878787878788,94.69696969696967,-46.780303030303024,0.0094696969696969,-0.0046780303030303,2017,23800,BANKNIFTY1751123800CE,0.0,0.0,0.0,0.0,-46.780303030303024,-0.0046780303030303,BANKNIFTY,5,-0.11243467488044,0.9122011604649032,-1.0246358353453433,25.45,18.8,1.353723404255319
37,335,2017-04-28,9365.5,9270.0,95.5,9374.55,40%,9412.75,9336.35,high,9350,2017-05-11,1,NIFTY175119350PE,PE,2017-05-10 15:22:00,,2017-05-11 15:30:00,,Friday Closing,,,,1604.27807486631,,,,,2017,9150,NIFTY175119150PE,0.0,0.0,0.0,0.0,,,NIFTY,5,,,,0.0,,
38,16,2017-05-05,22977.2,22515.35,461.8500000000022,22840.4,50%,23071.325000000004,22609.475,low,23100,2017-05-18,6,BANKNIFTY1751823100CE,CE,2017-05-12 14:45:00,9.65,2017-05-17 14:17:00,15.35,SL Hit,-5.699999999999999,0.25,-5.949999999999999,378.7878787878788,-2159.090909090909,-2253.7878787878785,-0.2159090909090908,-0.2253787878787878,2017,23800,BANKNIFTY1751823800CE,0.5,0.15,-0.35,-132.57575757575756,-2386.363636363636,-0.2386363636363636,BANKNIFTY,5,-0.3510710385168036,0.9122011604649032,-1.2632721989817068,27.5,9.65,2.849740932642487
39,337,2017-05-05,9450.3,9272.05,178.25,9436.65,40%,9507.95,9365.35,high,9350,2017-05-18,2,NIFTY175189350PE,PE,2017-05-16 14:14:00,,2017-05-18 15:30:00,,Friday Closing,,,,1604.27807486631,,,,,2017,9150,NIFTY175189150PE,0.0,0.0,0.0,0.0,,,NIFTY,5,,,,0.0,,
40,338,2017-05-12,9532.2,9372.6,159.60000000000036,9469.9,40%,9533.74,9406.06,low,9550,2017-05-25,6,NIFTY17MAY9550CE,CE,2017-05-19 12:07:00,9.05,2017-05-25 15:30:00,0.05,Expiry Closing,9.0,0.091,8.909,1570.6806282722512,14136.12565445026,13993.193717277489,1.4136125654450262,1.3993193717277488,2017,9750,NIFTY17MAY9750CE,0.8,0.05,-0.75,-1178.0104712041884,12815.1832460733,1.2815183246073298,NIFTY,5,0.9304472860905262,0.9304472860905262,0.0,20.0,9.05,2.209944751381215
41,18,2017-05-12,22977.65,22579.35,398.3000000000029,22761.95,50%,22961.1,22562.8,low,23000,2017-05-25,2,BANKNIFTY17MAY23000CE,CE,2017-05-23 09:26:00,10.2,2017-05-25 14:04:00,32.0,SL Hit,-21.8,0.422,-22.222,380.4347826086956,-8293.478260869564,-8454.021739130434,-0.8293478260869565,-0.8454021739130435,2017,23700,BANKNIFTY17MAY23700CE,0.9,0.05,-0.85,-323.36956521739125,-8777.391304347826,-0.8777391304347826,BANKNIFTY,5,0.0527081556557436,0.9304472860905262,-0.8777391304347826,32.1,10.2,3.147058823529412
42,17,2017-05-12,22977.65,22579.35,398.3000000000029,22761.95,50%,22961.1,22562.8,high,22600,2017-05-25,0,BANKNIFTY17MAY22600PE,PE,2017-05-25 14:03:00,1.1,2017-05-25 15:30:00,0.1,Friday Closing,1.0,0.012,0.988,387.16814159292034,387.16814159292034,382.5221238938053,0.038716814159292,0.0382522123893805,2017,21900,BANKNIFTY17MAY21900PE,0.2,0.05,-0.15,-58.07522123893805,324.44690265486724,0.0324446902654867,BANKNIFTY,5,0.0851528459212303,0.9304472860905262,-0.8452944401692959,2.9,1.1,2.6363636363636362
43,339,2017-05-19,9522.7,9341.9,180.8000000000011,9507.75,40%,9580.07,9435.43,high,9450,2017-06-01,6,NIFTY176019450PE,PE,2017-05-26 13:15:00,,2017-06-01 15:30:00,,Friday Closing,,,,1587.3015873015877,,,,,2017,9250,NIFTY176019250PE,0.0,0.0,0.0,0.0,,,NIFTY,5,,,,0.0,,
44,19,2017-05-26,23469.45,23095.0,374.4500000000007,23435.2,50%,23622.425000000003,23247.975,high,23200,2017-06-08,0,BANKNIFTY1760823200PE,PE,2017-06-08 09:15:00,1.1,2017-06-08 15:30:00,0.05,Friday Closing,1.05,0.0115,1.0385,377.1551724137931,396.01293103448273,391.6756465517241,0.0396012931034482,0.0391675646551724,2017,22500,BANKNIFTY1760822500PE,0.1,0.05,-0.05,-18.85775862068965,372.8178879310345,0.0372817887931034,BANKNIFTY,6,0.1224346347143337,0.9304472860905262,-0.8080126513761924,3.1,1.1,2.818181818181818
45,20,2017-06-02,23653.35,23309.05,344.2999999999993,23483.95,50%,23656.1,23311.800000000003,high,23300,2017-06-15,6,BANKNIFTY1761523300PE,PE,2017-06-09 13:59:00,35.5,2017-06-15 15:30:00,0.05,Friday Closing,35.45,0.3555,35.094500000000004,375.5364806866953,13312.76824034335,13179.26502145923,1.3312768240343351,1.317926502145923,2017,22600,BANKNIFTY1761522600PE,3.75,0.05,-3.7,-1389.4849785407728,11789.780042918455,1.1789780042918456,BANKNIFTY,6,1.301412639006179,1.301412639006179,0.0,59.15,35.5,1.6661971830985915
46,340,2017-06-02,9706.3,9630.5,75.79999999999927,9638.55,40%,9668.87,9608.23,high,9600,2017-06-15,6,NIFTY176159600PE,PE,2017-06-09 15:02:00,,2017-06-12 09:15:00,,SL Hit,,,,1562.5,,,,,2017,9400,NIFTY176159400PE,0.0,0.0,0.0,0.0,,,NIFTY,6,,,,0.0,,
47,341,2017-06-02,9706.3,9630.5,75.79999999999927,9638.55,40%,9668.87,9608.23,low,9650,2017-06-15,3,NIFTY176159650CE,CE,2017-06-12 10:00:00,,2017-06-15 15:30:00,,Expiry Closing,,,,1554.4041450777204,,,,,2017,9850,NIFTY176159850CE,0.0,0.0,0.0,0.0,,,NIFTY,6,,,,0.0,,
48,21,2017-06-09,23706.65,23311.9,394.75,23448.6,50%,23645.975,23251.225,high,23300,2017-06-22,3,BANKNIFTY1762223300PE,PE,2017-06-19 13:44:00,15.3,2017-06-22 15:30:00,0.05,Friday Closing,15.25,0.1535,15.0965,375.5364806866953,5726.931330472104,5669.286480686696,0.5726931330472104,0.5669286480686696,2017,22600,BANKNIFTY1762222600PE,1.9,0.05,-1.85,-694.7424892703864,4974.54399141631,0.497454399141631,BANKNIFTY,6,1.7988670381478102,1.7988670381478102,0.0,16.45,15.3,1.0751633986928104
49,342,2017-06-09,9676.0,9560.8,115.20000000000071,9595.45,40%,9641.53,9549.37,high,9550,2017-06-22,3,NIFTY176229550PE,PE,2017-06-19 13:44:00,,2017-06-22 15:30:00,,Friday Closing,,,,1570.6806282722512,,,,,2017,9350,NIFTY176229350PE,0.0,0.0,0.0,0.0,,,NIFTY,6,,,,0.0,,
50,343,2017-06-16,9698.6,9565.7,132.89999999999964,9643.25,40%,9696.41,9590.09,low,9700,2017-06-29,6,NIFTY17JUN9700CE,CE,2017-06-23 10:01:00,14.1,2017-06-29 15:30:00,0.05,Expiry Closing,14.05,0.1415,13.908499999999998,1546.3917525773195,21726.804123711343,21507.98969072165,2.1726804123711343,2.150798969072165,2017,9900,NIFTY17JUN9900CE,1.25,0.05,-1.2,-1855.670103092784,19652.319587628863,1.9652319587628868,NIFTY,6,3.764098996910697,3.764098996910697,0.0,17.9,14.1,1.2695035460992907
51,22,2017-06-16,23896.9,23391.0,505.9000000000015,23772.3,50%,24025.25,23519.35,low,24000,2017-06-29,6,BANKNIFTY17JUN24000CE,CE,2017-06-23 15:13:00,15.85,2017-06-29 15:30:00,0.05,Expiry Closing,15.8,0.159,15.640999999999998,364.58333333333337,5760.416666666668,5702.447916666667,0.5760416666666668,0.5702447916666668,2017,24700,BANKNIFTY17JUN24700CE,2.35,0.05,-2.3000000000000003,-838.5416666666669,4863.90625,0.486390625,BANKNIFTY,6,4.250489621910697,4.250489621910697,0.0,18.65,15.85,1.1766561514195584
52,344,2017-06-23,9646.65,9473.7,172.9499999999989,9478.5,40%,9547.68,9409.32,high,9400,2017-07-06,3,NIFTY177069400PE,PE,2017-07-03 09:15:00,,2017-07-06 15:30:00,,Friday Closing,,,,1595.7446808510635,,,,,2017,9200,NIFTY177069200PE,0.0,0.0,0.0,0.0,,,NIFTY,7,,,,0.0,,
53,23,2017-06-23,23778.4,23056.4,722.0,23137.25,50%,23498.25,22776.25,high,22800,2017-07-06,0,BANKNIFTY1770622800PE,PE,2017-07-06 11:03:00,0.05,2017-07-06 15:30:00,0.05,Friday Closing,0.0,0.001,-0.001,383.77192982456137,0.0,-0.3837719298245614,0.0,-3.8377192982456135e-05,2017,22100,BANKNIFTY1770622100PE,0.1,0.05,-0.05,-19.18859649122807,-19.57236842105263,-0.0019572368421052,BANKNIFTY,7,4.248532385068592,4.250489621910697,-0.001957236842105,0.1,0.05,2.0
